Year,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Region,Data Item,Domain,Domain Category,Value,CV (%)
2022,AMERICAN INDIAN RESERVATION,,,,,,,HO-CHUNK,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,HOPI,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"483,000",7.6
2022,AMERICAN INDIAN RESERVATION,,,,,,,KAIBAB PAIUTE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,LAC COURTE OREILLES OJIBWA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,LAC DU FLAMBEAU,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,LAKE TRAVERSE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"121,645,000",11.7
2022,AMERICAN INDIAN RESERVATION,,,,,,,LEECH LAKE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,326,000",30.5
2022,AMERICAN INDIAN RESERVATION,,,,,,,LOWER BRULE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"50,462,000",16.1
2022,AMERICAN INDIAN RESERVATION,,,,,,,LOWER SIOUX,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,MENOMINEE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,MILLE LACS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"389,000",19.4
2022,AMERICAN INDIAN RESERVATION,,,,,,,MISSISSIPPI BANDS OF CHOCTAW,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,NAVAJO NATION,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"121,275,000",1.9
2022,AMERICAN INDIAN RESERVATION,,,,,,,NEZ PERCE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"129,104,000",10.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,NORTHERN CHEYENNE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"211,000",44.7
2022,AMERICAN INDIAN RESERVATION,,,,,,,OMAHA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,ONEIDA TRIBE OF WISCONSIN,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,730,000",5.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,PINE RIDGE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,751,000",31.7
2022,AMERICAN INDIAN RESERVATION,,,,,,,PRAIRIE ISLAND COMMUNITY,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,PUEBLO DE COCHITI,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"79,000",40.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,PUEBLO OF ISLETA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,313,000",46.1
2022,AMERICAN INDIAN RESERVATION,,,,,,,PUEBLO OF JEMEZ,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,000",62.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,PUEBLO OF SANTO DOMINGO,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"175,000",(H)
2022,AMERICAN INDIAN RESERVATION,,,,,,,RED CLIFF,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,RED LAKE BAND,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,ROCKY BOY'S,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,ROSEBUD,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,780,000",42
2022,AMERICAN INDIAN RESERVATION,,,,,,,SAC AND FOX,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,SALT RIVER PIMA-MARICOPA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,SAN CARLOS APACHE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"223,000",(H)
2022,AMERICAN INDIAN RESERVATION,,,,,,,SANTEE SIOUX,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,405,000",79.9
2022,AMERICAN INDIAN RESERVATION,,,,,,,SOKAOGON CHIPPEWA COMMUNITY,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,SPIRIT LAKE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"49,627,000",54.3
2022,AMERICAN INDIAN RESERVATION,,,,,,,SPOKANE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"78,000",54.4
2022,AMERICAN INDIAN RESERVATION,,,,,,,STANDING ROCK,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"68,554,000",22.6
2022,AMERICAN INDIAN RESERVATION,,,,,,,STOCKBRIDGE-MUNSEE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,TURTLE MOUNTAIN/TRENTON INDIAN SERVICE AREA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"13,342,000",(H)
2022,AMERICAN INDIAN RESERVATION,,,,,,,UMATILLA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,780,000",9.1
2022,AMERICAN INDIAN RESERVATION,,,,,,,UPPER SIOUX,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,WARM SPRINGS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,714,000",3.7
2022,AMERICAN INDIAN RESERVATION,,,,,,,WHITE EARTH,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"193,425,000",62.4
2022,AMERICAN INDIAN RESERVATION,,,,,,,WIND RIVER,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,929,000",16.9
2022,AMERICAN INDIAN RESERVATION,,,,,,,WINNEBAGO,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"30,340,000",20.6
2022,AMERICAN INDIAN RESERVATION,,,,,,,YAKAMA,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"408,286,000",6.6
2022,AMERICAN INDIAN RESERVATION,,,,,,,YANKTON,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"41,051,000",18.7
2022,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"29,212,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"36,100,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"40,553,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,592,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,405,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,685,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,120,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,787,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,769,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,736,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,833,000",(L)
2022,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,785,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"123,196,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,506,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,087,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,088,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,493,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,884,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"116,788,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,836,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,690,000",(L)
2022,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,751,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"18,821,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"18,728,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"64,806,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,288,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,283,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"43,541,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,181,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"53,418,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,732,000",(L)
2022,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,962,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"34,519,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,579,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"59,491,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"84,219,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"95,909,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"107,133,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,672,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,812,000",(L)
2022,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,790,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,387,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,244,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,067,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,919,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"742,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,697,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,439,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,024,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"46,904,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,975,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,913,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,106,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"27,639,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,913,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,980,000",(L)
2022,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,185,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,929,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"27,753,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"28,100,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,804,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,571,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"42,487,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"38,927,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"69,754,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"13,937,000",(L)
2022,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,863,000",(L)
2022,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,238,000",(L)
2022,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,495,000",(L)
2022,COUNTY,ALASKA,2,SOUTHEAST,40,JUNEAU,,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,145,000",(L)
2022,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,247,000",(L)
2022,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,570,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,APACHE,1,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,411,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,437,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"412,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"48,846,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,898,000",(L)
2022,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,889,000",(L)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"223,269,000",(L)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"49,939,000",(L)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,239,000",(L)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"742,596,000",(L)
2022,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"87,130,000",(L)
