freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%),domaincat_desc,asd_code,group_desc,region_desc,end_code,county_name,watershed_desc,Value,load_time,sector_desc,prodn_practice_desc,country_name,state_ansi,domain_desc,source_desc,country_code,zip_5,commodity_desc,agg_level_desc,reference_period_desc,unit_desc,state_name,week_ending,statisticcat_desc,county_ansi,watershed_code,congr_district_code,county_code,state_fips_code
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"109,333,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,1997,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"132,621,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,4.6,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"5,365,927,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,6.2,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"3,708,935,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,1.0,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"2,934,317,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"2,363,135,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"1,358,380,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,1997,,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"1,680,203,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,5.7,NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"7,542,938,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,4.7,NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"5,191,181,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,1.0,NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"4,310,002,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"3,271,395,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"1,811,821,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,4.7,NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"6,756,966,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,5.6,NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"4,638,045,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,0.9,NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"3,769,915,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"2,802,003,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"1,396,200,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,6.3,NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"2,239,477,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,9.0,NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"2,028,608,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,1.0,NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"1,406,104,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"626,513,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"682,470,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11112),,CROP TOTALS,,00,,,"46,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11113),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,(D),NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,13.2,NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,"4,871,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,5.1,NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,"40,659,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,"9,047,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,5.9,NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"2,831,054,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,9.5,NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"1,264,016,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,1.0,NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"1,066,113,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"1,091,607,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"425,525,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,(D),NAICS CLASSIFICATION: (11116),,CROP TOTALS,,00,,,                 (D),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,16.9,NAICS CLASSIFICATION: (11116),,CROP TOTALS,,00,,,"101,697,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,6.6,NAICS CLASSIFICATION: (11116),,CROP TOTALS,,00,,,"103,312,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (11116),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11116),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,14.4,NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"1,543,442,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,4.4,NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"1,238,854,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,0.8,NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"1,153,728,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"982,438,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"253,227,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,4.4,NAICS CLASSIFICATION: (1112),,CROP TOTALS,,00,,,"74,217,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,(H),NAICS CLASSIFICATION: (1112),,CROP TOTALS,,00,,,"59,671,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,2.2,NAICS CLASSIFICATION: (1112),,CROP TOTALS,,00,,,"55,021,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
