Value,end_code,county_name,county_code,begin_code,week_ending,state_ansi,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,location_desc,state_alpha,state_fips_code,reference_period_desc,country_name,asd_code,source_desc,statisticcat_desc,short_desc,domaincat_desc,commodity_desc,CV (%),group_desc,sector_desc,asd_desc,prodn_practice_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5
"36,447,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"48,132,000",00,,,00,,54,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"205,139,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),CROP TOTALS,5.1,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"130,387,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),CROP TOTALS,4.3,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"120,533,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),CROP TOTALS,14.1,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"69,046,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"62,920,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"48,578,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),CROP TOTALS,2.9,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"28,139,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),CROP TOTALS,16.9,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"29,671,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),CROP TOTALS,2.4,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"5,930,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"7,893,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),CROP TOTALS,0.9,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"5,122,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),CROP TOTALS,25.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),CROP TOTALS,(D),CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"693,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"20,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),CROP TOTALS,66.6,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"23,921,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),CROP TOTALS,4.8,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"15,030,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),CROP TOTALS,25.6,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"15,718,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),CROP TOTALS,2.9,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"3,004,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"16,764,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),CROP TOTALS,6.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"7,968,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),CROP TOTALS,17.7,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"9,522,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),CROP TOTALS,2.3,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"1,965,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"20,927,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),CROP TOTALS,31.4,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"9,031,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),CROP TOTALS,35.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"8,236,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),CROP TOTALS,5.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"3,782,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"4,074,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"2,032,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111211),CROP TOTALS,36.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"401,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111211),CROP TOTALS,23.1,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"345,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111211),CROP TOTALS,44.2,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111211),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"88,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111211),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
