source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc,sector_desc,prodn_practice_desc,asd_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,watershed_code,class_desc,zip_5,Value,end_code,county_name,county_code,begin_code,state_ansi,week_ending,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,location_desc,state_alpha,state_fips_code,reference_period_desc,asd_code,country_name
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"432,024,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"356,271,000",00,,,00,13,,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),20.4,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"1,035,843,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),8.6,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"692,850,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),2.2,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"851,574,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"486,408,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"413,202,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"841,606,000",00,,,00,13,,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),18.4,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"4,220,958,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),6.2,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"3,168,961,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),1.5,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"3,561,189,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"2,072,948,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"1,537,312,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),43.1,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"288,992,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),12.1,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"86,584,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),1.8,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"269,623,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"151,505,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"36,867,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),42.6,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"21,832,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),29.7,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"15,412,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),4.2,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"29,405,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"21,393,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"6,180,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),45.8,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"98,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),7.9,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"31,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),(D),CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,                 (D),00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"5,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),37.2,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"347,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),(H),CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"62,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),(D),CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,                 (D),00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"362,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),25.7,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"7,923,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),16.9,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"176,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),4.0,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"11,089,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"3,719,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"5,402,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),51.7,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"173,045,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),21.9,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"43,138,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),3.7,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"106,408,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"57,506,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"21,329,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),52.8,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"85,747,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),6.4,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"27,767,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),2.8,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"122,712,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"68,525,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"3,951,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),14.1,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"633,307,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),16.3,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"550,262,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,GEORGIA,GA,13,YEAR,,UNITED STATES
