group_desc,domaincat_desc,commodity_desc,CV (%),statisticcat_desc,short_desc,source_desc,zip_5,watershed_desc,agg_level_desc,class_desc,watershed_code,state_name,country_code,sector_desc,prodn_practice_desc,asd_desc,load_time,county_code,begin_code,week_ending,state_ansi,county_name,Value,end_code,country_name,asd_code,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"145,979,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"153,216,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,58.2,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,"3,992,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"49,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,5.2,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,"419,524,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,44.4,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"255,258,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,46.5,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,"336,293,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"209,537,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"146,817,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,90.8,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"700,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"30,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,1.0,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,"118,666,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,8.0,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"25,855,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,7.7,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,"47,876,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (111219),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (111219),CROP TOTALS,8.0,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"25,855,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (111219),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (111219),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (111219),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (1113),CROP TOTALS,23.6,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,"1,952,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
CROP TOTALS,NAICS CLASSIFICATION: (1113),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$
CROP TOTALS,NAICS CLASSIFICATION: (1113),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$
CROP TOTALS,NAICS CLASSIFICATION: (1113),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$
CROP TOTALS,NAICS CLASSIFICATION: (1113),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$
CROP TOTALS,NAICS CLASSIFICATION: (11133),CROP TOTALS,23.6,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,"1,952,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$
