short_desc,statisticcat_desc,source_desc,group_desc,commodity_desc,CV (%),domaincat_desc,state_name,country_code,load_time,sector_desc,prodn_practice_desc,asd_desc,zip_5,class_desc,watershed_code,watershed_desc,agg_level_desc,end_code,Value,state_ansi,week_ending,county_code,begin_code,county_name,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,country_name,asd_code,state_alpha,reference_period_desc,location_desc,state_fips_code,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"45,771,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"40,548,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,3.0,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"9,694,234,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,8.0,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"6,104,023,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.5,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"8,888,718,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"4,638,724,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"2,274,871,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"2,070,767,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.6,NAICS CLASSIFICATION: (111),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"10,384,575,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,7.0,NAICS CLASSIFICATION: (111),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"6,485,087,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.2,NAICS CLASSIFICATION: (111),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"9,449,902,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"4,892,254,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"2,369,388,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.8,NAICS CLASSIFICATION: (1111),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"9,671,132,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,7.7,NAICS CLASSIFICATION: (1111),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"5,960,928,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.4,NAICS CLASSIFICATION: (1111),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"8,795,582,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (1111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"4,490,882,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (1111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"2,002,304,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,6.5,NAICS CLASSIFICATION: (11111),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,202,347,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,13.8,NAICS CLASSIFICATION: (11111),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,281,176,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,3.6,NAICS CLASSIFICATION: (11111),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"837,761,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"333,098,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11111),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"347,606,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,25.0,NAICS CLASSIFICATION: (11112),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"406,449,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,30.0,NAICS CLASSIFICATION: (11112),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"165,496,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,10.5,NAICS CLASSIFICATION: (11112),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"262,901,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11112),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"39,104,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11112),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"247,307,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,24.5,NAICS CLASSIFICATION: (11113),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"58,876,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,20.8,NAICS CLASSIFICATION: (11113),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"90,791,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,10.3,NAICS CLASSIFICATION: (11113),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"90,157,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11113),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"36,255,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11113),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"65,202,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,4.0,NAICS CLASSIFICATION: (11114),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,456,328,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,14.7,NAICS CLASSIFICATION: (11114),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"460,552,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,2.2,NAICS CLASSIFICATION: (11114),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,545,888,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11114),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,363,740,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11114),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"519,085,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,3.1,NAICS CLASSIFICATION: (11115),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,356,913,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,11.3,NAICS CLASSIFICATION: (11115),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"731,643,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,6.9,NAICS CLASSIFICATION: (11115),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"1,938,071,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11115),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"504,143,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,NAICS CLASSIFICATION: (11115),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"140,468,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,1.9,NAICS CLASSIFICATION: (11119),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"5,190,220,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,9.6,NAICS CLASSIFICATION: (11119),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"3,231,270,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,1.4,NAICS CLASSIFICATION: (11119),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"4,120,804,000",38,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
