asd_code,group_desc,end_code,region_desc,domaincat_desc,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,county_name,begin_code,class_desc,freq_desc,state_alpha,util_practice_desc,asd_desc,short_desc,location_desc,CV (%),year,state_name,unit_desc,week_ending,statisticcat_desc,agg_level_desc,reference_period_desc,congr_district_code,county_code,state_fips_code,county_ansi,watershed_code,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"775,076,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,10.7,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"467,724,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"356,400,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"487,075,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,1997,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (111),,"3,277,817,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,19.4,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (111),,"2,247,925,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,6.9,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (111),,"2,933,810,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,4.4,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (111),,"1,634,991,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (111),,"1,006,322,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (1111),,"2,542,455,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,20.8,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (1111),,"1,525,694,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,9.0,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (1111),,"2,387,409,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,4.3,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (1111),,"1,081,197,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (1111),,"399,618,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11111),,"1,726,460,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,17.8,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11111),,"1,108,277,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,12.9,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11111),,"980,869,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,3.5,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11111),,"221,925,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11111),,"217,376,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11112),,"12,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,54.8,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11113),,                 (D),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,(D),2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11113),,"81,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,85.6,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11113),,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11114),,"2,244,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,99.3,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11114),,                 (D),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,(D),2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11114),,"18,013,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,63.7,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11114),,"17,312,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11114),,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11115),,"316,734,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,42.7,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11115),,"106,873,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,12.9,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11115),,"628,098,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,4.2,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11115),,"320,137,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11115),,"94,276,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11116),,"41,618,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,59.7,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11116),,"42,946,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,8.2,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11116),,"41,701,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,47.4,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11116),,"93,702,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11116),,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11119),,"455,398,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,23.6,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11119),,"264,664,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,13.1,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11119),,"718,636,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,23.3,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11119),,"428,121,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,NAICS CLASSIFICATION: (11119),,"61,391,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
