region_desc,unit_desc,year,congr_district_code,freq_desc,domain_desc,util_practice_desc,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,asd_code,country_name,Value,end_code,county_name,begin_code,county_code,week_ending,state_ansi,prodn_practice_desc,asd_desc,sector_desc,load_time,country_code,state_name,agg_level_desc,watershed_desc,watershed_code,class_desc,zip_5,source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,396,197,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,288,337,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,980,141,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"7,834,166,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),3.7,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"5,887,827,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),3.6,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"6,429,292,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),12.2,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"4,428,150,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,081,557,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (111),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"7,376,864,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),3.5,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"5,609,765,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),3.5,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"6,071,701,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),11.4,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"4,122,436,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,810,463,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1111),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),(D),CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,017,010,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),11.3,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"353,745,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),5.9,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"218,906,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11111),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),(D),CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),(D),CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"7,564,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),14.5,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11112),,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11113),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,105,011,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),5.3,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),(D),CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,601,592,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),6.9,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"723,875,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"660,549,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11114),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"3,029,261,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),5.7,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,639,257,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),3.6,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,883,309,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),15.0,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,408,038,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"629,346,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11115),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,809,890,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),2.8,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,608,512,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),5.1,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,225,490,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),14.2,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,765,533,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"386,253,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (11119),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"26,453,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),33.4,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"19,909,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),44.6,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,                 (D),00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),(D),CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"22,534,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",NAICS CLASSIFICATION: (1112),,CROP TOTALS,CROP TOTALS
