CV (%),commodity_desc,domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc,watershed_code,class_desc,watershed_desc,agg_level_desc,zip_5,load_time,sector_desc,prodn_practice_desc,asd_desc,state_name,country_code,county_name,week_ending,state_ansi,county_code,begin_code,end_code,Value,location_desc,state_fips_code,reference_period_desc,state_alpha,county_ansi,country_name,asd_code,year,unit_desc,region_desc,util_practice_desc,domain_desc,freq_desc,congr_district_code
4.0,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"373,342,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"257,265,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"179,744,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"175,872,000",IDAHO,16,YEAR,ID,,UNITED STATES,,1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
3.2,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"4,620,436,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
17.9,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"3,064,752,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
4.3,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"3,271,223,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"2,238,385,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,734,128,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
10.6,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"992,408,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
9.7,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"619,436,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
3.2,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"972,123,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"508,493,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"263,519,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(H),CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"65,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(D),CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(H),CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"121,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
(D),CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
66.7,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"10,707,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
17.9,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"16,044,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,                 (D),IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
17.8,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"405,091,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
16.4,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"148,607,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
3.9,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"394,267,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"278,648,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"174,989,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
9.2,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"228,878,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
20.7,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"120,261,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
16.2,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"126,273,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"60,106,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"19,927,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
11.1,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"352,043,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
12.8,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"337,345,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
6.1,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"435,419,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"166,507,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"50,502,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
2.1,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,891,885,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
39.4,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,341,769,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
4.9,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,006,276,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"886,789,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,
