commodity_desc,zip_5,country_code,source_desc,domain_desc,state_ansi,country_name,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,state_name,unit_desc,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,short_desc,location_desc,CV (%),year,begin_code,class_desc,freq_desc,asd_desc,state_alpha,util_practice_desc,Value,watershed_desc,prodn_practice_desc,sector_desc,load_time,county_name,asd_code,region_desc,end_code,group_desc,domaincat_desc
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"151,882,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,1997,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"157,543,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,46.2,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,403,691,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,8.4,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"722,433,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,3.3,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,134,627,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"718,637,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"576,065,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,1997,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"770,545,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,30.2,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"3,342,008,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,6.7,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"2,033,640,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,4.6,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"2,764,793,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,594,181,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,057,824,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,17.5,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,758,348,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,8.5,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,306,814,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,4.7,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,872,932,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"850,241,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"353,622,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,20.7,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"564,042,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,11.2,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"580,869,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,10.7,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"431,798,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"81,320,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"79,045,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11111)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,(D),2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11113)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11113)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,45.4,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"2,550,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11114)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,(D),2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11114)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,(D),2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11114)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11114)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"5,339,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11114)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,17.7,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"423,948,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11115)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,11.1,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"225,981,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11115)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,6.8,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"523,609,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11115)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"297,865,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11115)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"117,213,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11115)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,6.6,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"451,213,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11116)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,24.1,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"305,125,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11116)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,5.2,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"364,378,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11116)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"218,585,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11116)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"110,232,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11116)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,37.2,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"316,595,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11119)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,(D),2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,                 (D),,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11119)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,12.4,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"537,605,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11119)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"245,937,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11119)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"41,793,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (11119)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,20.1,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"44,975,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1112)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,13.0,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"45,339,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1112)
CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,21.2,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"47,737,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,NAICS CLASSIFICATION: (1112)
