reference_period_desc,agg_level_desc,week_ending,statisticcat_desc,unit_desc,state_name,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,country_name,state_ansi,domain_desc,source_desc,country_code,zip_5,commodity_desc,domaincat_desc,group_desc,region_desc,end_code,asd_code,county_name,load_time,sector_desc,prodn_practice_desc,watershed_desc,Value,state_alpha,asd_desc,util_practice_desc,freq_desc,begin_code,class_desc,CV (%),year,location_desc,short_desc
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"155,521,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"114,543,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,1997,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,123,809,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,6.4,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"749,171,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,5.2,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"801,225,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,2.3,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"389,506,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"312,644,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"440,826,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,1997,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,735,910,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,5.6,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,237,747,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,3.0,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,241,826,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,1.3,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"801,890,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"676,499,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"699,502,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,8.8,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"391,260,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,5.8,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"537,431,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,1.1,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"220,337,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"122,966,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"148,005,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,12.6,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"123,162,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,13.4,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"155,405,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,2.1,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"28,545,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11111),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"29,704,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11112),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,(D),2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,(D),2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11113),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,588,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,40.6,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"535,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,39.2,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,904,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,18.8,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"5,655,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11114),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"292,413,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,5.5,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"91,659,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,20.7,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"89,940,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,2.0,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"50,294,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11115),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"29,910,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"256,496,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,12.9,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"175,896,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,6.4,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"289,181,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,1.2,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"135,843,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (11119),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"60,186,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"119,088,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,18.4,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"114,008,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,17.1,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"85,355,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,1.6,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"90,922,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (1112),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"79,609,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"12,852,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,39.0,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,NAICS CLASSIFICATION,CENSUS,9000,,CROP TOTALS,NAICS CLASSIFICATION: (111211),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"10,479,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,27.7,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
