year,agg_level_desc,statisticcat_desc,domaincat_desc,region_desc,load_time,reference_period_desc,state_ansi,commodity_desc,sector_desc,country_code,congr_district_code,domain_desc,watershed_code,short_desc,prodn_practice_desc,asd_desc,location_desc,asd_code,county_code,source_desc,freq_desc,state_fips_code,util_practice_desc,Value,county_name,state_name,week_ending,state_alpha,unit_desc,class_desc,country_name,zip_5,watershed_desc,end_code,begin_code,county_ansi,group_desc,CV (%)
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(L)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.2,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,0.5
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,0.7,,ALASKA,,AK,TONS / ACRE,ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,(L)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,0.9,,ALASKA,,AK,TONS / ACRE,ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,(L)
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.2,,ALASKA,,AK,TONS / ACRE,ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,13.3
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, SMALL GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,SMALL GRAIN,UNITED STATES,,,00,00,,FIELD CROPS,
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, SMALL GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.4,,ALASKA,,AK,TONS / ACRE,SMALL GRAIN,UNITED STATES,,,00,00,,FIELD CROPS,12.2
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, SMALL GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,SMALL GRAIN,UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, SMALL GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,SMALL GRAIN,UNITED STATES,,,00,00,,FIELD CROPS,
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.2,,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.2,,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,0.9
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.4,,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.1,,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,"TAME, (EXCL ALFALFA & SMALL GRAIN)",UNITED STATES,,,00,00,,FIELD CROPS,
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, WILD, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,WILD,UNITED STATES,,,00,00,,FIELD CROPS,(L)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, WILD, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,0.5,,ALASKA,,AK,TONS / ACRE,WILD,UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, WILD, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,WILD,UNITED STATES,,,00,00,,FIELD CROPS,
2018,STATE,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,2018-02-01 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,"IRRIGATION METHOD, PRIMARY",00000000,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,2.8,,ALASKA,,AK,"TONS / ACRE, DRY BASIS",(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,4.9
2013,STATE,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,2012-12-31 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,"IRRIGATION METHOD, PRIMARY",00000000,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,"TONS / ACRE, DRY BASIS",(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2018,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,2.8,,ALASKA,,AK,"TONS / ACRE, DRY BASIS",(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,4.9
2013,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,"TONS / ACRE, DRY BASIS",(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2013,STATE,YIELD,IRRIGATION STATUS: (ANY ON OPERATION),,2012-12-31 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,IRRIGATION STATUS,00000000,"HAY & HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",NON-IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.8,,ALASKA,,AK,"TONS / ACRE, DRY BASIS",(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2018,STATE,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,2018-02-01 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,"IRRIGATION METHOD, PRIMARY",00000000,"HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,"TONS / ACRE, DRY BASIS",ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,(D)
2018,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY & HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",IRRIGATED,,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,"TONS / ACRE, DRY BASIS",ALFALFA,UNITED STATES,,,00,00,,FIELD CROPS,(D)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,1.3,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAYLAGE,CROPS,9000,,TOTAL,00000000,"HAYLAGE, (EXCL ALFALFA), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, PART OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
