unit_desc,CV (%),region_desc,agg_level_desc,asd_desc,watershed_code,short_desc,county_code,asd_code,load_time,state_alpha,source_desc,domain_desc,Value,commodity_desc,begin_code,year,sector_desc,prodn_practice_desc,state_ansi,statisticcat_desc,congr_district_code,watershed_desc,country_name,week_ending,domaincat_desc,country_code,end_code,class_desc,state_name,zip_5,county_ansi,freq_desc,util_practice_desc,state_fips_code,county_name,location_desc,reference_period_desc,group_desc
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,25,CORN,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,0.7,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,173.2,CORN,00,2022,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,0.9,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,186,CORN,00,2017,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,2.0,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,183.8,CORN,00,2012,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,176.1,CORN,00,2007,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,144.7,CORN,00,2002,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,9.1,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,20.5,CORN,00,2017,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(D),,STATE,,00000000,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2012,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,10.9,CORN,00,2007,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,12.3,CORN,00,2002,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,0.9,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,163.4,CORN,00,2022,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,2.9,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,168,CORN,00,2017,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,21.7,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,165.2,CORN,00,2012,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,155.1,CORN,00,2007,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,116.6,CORN,00,2002,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,8.3,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,13.2,CORN,00,2022,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,17.5,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,18,CORN,00,2017,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(D),,STATE,,00000000,"CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2012,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2007,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,11.5,CORN,00,2002,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,2.0,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,160.9,CORN,00,2022,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,2.4,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,178.5,CORN,00,2017,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,17.8,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,164.9,CORN,00,2012,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,165.9,CORN,00,2007,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,131.2,CORN,00,2002,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(L),,STATE,,00000000,"CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,9.4,CORN,00,2022,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,23.6,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,20.3,CORN,00,2017,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(D),,STATE,,00000000,"CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2012,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2007,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,                 (D),CORN,00,2002,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,IRRIGATION STATUS,104,CORN,00,2013,CROPS,NON-IRRIGATED,05,YIELD,,,UNITED STATES,,IRRIGATION STATUS: (ANY ON OPERATION),9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,1.1,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY","1,254",COTTON,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY","1,238",COTTON,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,4.0,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY","1,233",COTTON,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY","1,151",COTTON,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,1.0,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,"1,251",COTTON,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
LB / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,"1,197",COTTON,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,2.2,,STATE,,00000000,"COTTON, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BALES / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,2.5,COTTON,00,2022,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,1.0,,STATE,,00000000,"COTTON, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BALES / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,2.5,COTTON,00,2017,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,3.7,,STATE,,00000000,"COTTON, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,2.2,COTTON,00,2012,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,2.4,COTTON,00,2007,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,1.9,COTTON,00,2002,CROPS,"IRRIGATED, ENTIRE CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,2.2,,STATE,,00000000,"COTTON, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,2.6,COTTON,00,2022,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,1.9,,STATE,,00000000,"COTTON, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,2.4,COTTON,00,2017,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,5.5,,STATE,,00000000,"COTTON, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,2,COTTON,00,2012,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,1.8,COTTON,00,2007,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,,,STATE,,00000000,"COTTON, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,1.5,COTTON,00,2002,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BALES / ACRE,2.8,,STATE,,00000000,"COTTON, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BALES / ACRE",,,2024-07-02 12:00:00.000,AR,CENSUS,TOTAL,2.5,COTTON,00,2022,CROPS,"IRRIGATED, PART OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
