year,unit_desc,region_desc,util_practice_desc,domain_desc,freq_desc,congr_district_code,location_desc,state_fips_code,state_alpha,reference_period_desc,county_ansi,country_name,asd_code,end_code,Value,county_name,state_ansi,week_ending,county_code,begin_code,load_time,sector_desc,asd_desc,prodn_practice_desc,state_name,country_code,class_desc,watershed_code,watershed_desc,agg_level_desc,zip_5,source_desc,short_desc,statisticcat_desc,commodity_desc,CV (%),domaincat_desc,group_desc
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"81,369,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (1111),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"49,450,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (1111),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"10,900,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,18.3,NAICS CLASSIFICATION: (11111),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (11111),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (11111),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"7,755,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11111),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11111),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"172,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,24.8,NAICS CLASSIFICATION: (11114),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (11114),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (11114),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"715,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11114),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11114),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"171,162,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,10.0,NAICS CLASSIFICATION: (11115),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"100,703,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,10.5,NAICS CLASSIFICATION: (11115),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"117,605,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,18.6,NAICS CLASSIFICATION: (11115),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"37,687,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11115),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"18,316,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11115),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"83,924,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,6.1,NAICS CLASSIFICATION: (11119),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"62,203,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,9.8,NAICS CLASSIFICATION: (11119),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"165,800,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,12.1,NAICS CLASSIFICATION: (11119),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"35,212,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11119),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"17,417,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (11119),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"82,137,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,1.9,NAICS CLASSIFICATION: (1112),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"54,611,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,8.4,NAICS CLASSIFICATION: (1112),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"48,710,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,2.7,NAICS CLASSIFICATION: (1112),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"67,579,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (1112),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"45,322,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (1112),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (111211),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"4,604,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,0.6,NAICS CLASSIFICATION: (111211),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"2,741,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,10.3,NAICS CLASSIFICATION: (111211),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"8,506,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (111211),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"12,426,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (111211),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,                 (D),,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,(D),NAICS CLASSIFICATION: (111219),CROP TOTALS
