reference_period_desc,agg_level_desc,statisticcat_desc,week_ending,state_name,unit_desc,watershed_code,county_ansi,county_code,state_fips_code,congr_district_code,country_name,domain_desc,state_ansi,source_desc,country_code,commodity_desc,zip_5,domaincat_desc,region_desc,end_code,group_desc,asd_code,county_name,prodn_practice_desc,sector_desc,load_time,Value,watershed_desc,state_alpha,asd_desc,util_practice_desc,freq_desc,class_desc,begin_code,year,CV (%),location_desc,short_desc
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"7,612,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"3,499,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,16.0,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"2,205,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,27.1,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11112),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11113),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11113),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11113),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11113),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11113),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11114),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11114),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11114),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11114),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11115),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"33,651,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,53.9,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11115),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11115),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11115),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"7,744,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11115),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"5,843,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11116),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11119),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11119),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11119),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,(D),FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11119),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"1,762,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (11119),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,                 (D),,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1112),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"1,872,650,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,6.0,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1112),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"1,238,288,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,5.4,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1112),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"1,406,984,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,1.8,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1112),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"1,437,887,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
