statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,CV (%),commodity_desc,state_name,country_code,sector_desc,prodn_practice_desc,asd_desc,load_time,zip_5,watershed_desc,agg_level_desc,class_desc,watershed_code,Value,end_code,county_code,begin_code,state_ansi,week_ending,county_name,freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc,country_name,asd_code,county_ansi,state_alpha,reference_period_desc,state_fips_code,location_desc
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,587,775,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,214,441,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),(H),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,"1,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),51.4,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"4,897,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),68.4,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"3,200,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"5,254,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"510,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),4.2,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"2,082,107,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),19.7,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"2,072,074,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,903,089,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,584,164,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),11.9,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"59,338,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),26.7,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"110,699,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"30,300,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11112),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),94.9,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,"2,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),41.7,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"41,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),14.7,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"6,662,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),20.8,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"32,685,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"19,486,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),10.0,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"19,949,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),4.9,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,"1,512,556,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),10.1,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,052,209,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),4.5,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"812,268,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"906,067,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"771,092,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111211),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111211),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111211),96.8,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"106,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111211),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111211),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"9,018,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111219),(D),CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,                 (D),00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
