short_desc,statisticcat_desc,source_desc,group_desc,CV (%),commodity_desc,domaincat_desc,country_code,state_name,load_time,prodn_practice_desc,asd_desc,sector_desc,zip_5,class_desc,watershed_code,agg_level_desc,watershed_desc,end_code,Value,week_ending,state_ansi,begin_code,county_code,county_name,domain_desc,util_practice_desc,congr_district_code,freq_desc,unit_desc,year,region_desc,asd_code,country_name,state_alpha,state_fips_code,location_desc,reference_period_desc,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"201,830,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"211,869,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,1997,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,15.7,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"25,040,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,8.9,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"14,954,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,11.5,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"15,972,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"7,947,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"5,230,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"10,686,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,1997,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,12.5,CROP TOTALS,NAICS CLASSIFICATION: (111),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"659,680,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,24.5,CROP TOTALS,NAICS CLASSIFICATION: (111),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"502,243,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,4.2,CROP TOTALS,NAICS CLASSIFICATION: (111),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"510,821,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"341,515,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"230,204,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,6.7,CROP TOTALS,NAICS CLASSIFICATION: (1111),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"73,398,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,62.2,CROP TOTALS,NAICS CLASSIFICATION: (1111),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"59,595,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,5.5,CROP TOTALS,NAICS CLASSIFICATION: (1111),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"73,162,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"43,113,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"17,800,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11111),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11112),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"570,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11112),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11113),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11113),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11114),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11114),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11114),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11114),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"16,123,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11114),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"9,484,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,13.0,CROP TOTALS,NAICS CLASSIFICATION: (11115),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"27,767,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,30.7,CROP TOTALS,NAICS CLASSIFICATION: (11115),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"21,696,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,16.9,CROP TOTALS,NAICS CLASSIFICATION: (11115),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"28,855,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11115),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"9,017,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11115),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"7,225,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,19.8,CROP TOTALS,NAICS CLASSIFICATION: (11119),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"24,694,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(H),CROP TOTALS,NAICS CLASSIFICATION: (11119),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"24,074,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,14.8,CROP TOTALS,NAICS CLASSIFICATION: (11119),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"24,134,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11119),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"17,404,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (11119),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,17.8,CROP TOTALS,NAICS CLASSIFICATION: (1112),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"55,974,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,70.1,CROP TOTALS,NAICS CLASSIFICATION: (1112),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"35,211,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,13.7,CROP TOTALS,NAICS CLASSIFICATION: (1112),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"15,090,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1112),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"14,173,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1112),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"13,138,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (111211),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (111211),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (111211),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,                 (D),,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111211),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"60,000",,49,00,,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
