Value,watershed_desc,sector_desc,prodn_practice_desc,load_time,county_name,asd_code,end_code,region_desc,group_desc,domaincat_desc,location_desc,short_desc,year,CV (%),class_desc,begin_code,freq_desc,asd_desc,util_practice_desc,state_alpha,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,unit_desc,state_name,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,commodity_desc,zip_5,country_code,source_desc,domain_desc,state_ansi,country_name
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"348,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11114),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,(H),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11115),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11115),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"39,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11115),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,72.2,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11115),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11115),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11119),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"16,274,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1112),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,7.1,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"8,773,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1112),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,23.0,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1112),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"7,878,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1112),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"5,853,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1112),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"3,738,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111211),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,0.8,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111211),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"2,123,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111211),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,3.0,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111211),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"1,072,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111211),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"12,535,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111219),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,9.1,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111219),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111219),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111219),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"4,780,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111219),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1113),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1113),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1113),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1113),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1113),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (11133),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
