freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc,country_name,asd_code,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,Value,end_code,county_code,begin_code,week_ending,state_ansi,county_name,state_name,country_code,sector_desc,asd_desc,prodn_practice_desc,load_time,zip_5,watershed_desc,agg_level_desc,watershed_code,class_desc,statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,CV (%),commodity_desc
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"234,034,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"226,942,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,972,241,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),4.0,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,305,992,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),3.0,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,426,627,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),3.3,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"789,505,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"538,748,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"548,835,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"2,794,470,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),5.4,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,806,950,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),3.3,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,869,131,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),3.5,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,458,709,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,071,809,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"681,635,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),2.6,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"382,649,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),3.7,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"605,505,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),9.6,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"229,898,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"102,589,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11111),(D),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11111),(D),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"29,110,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11111),33.4,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"13,754,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"6,395,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11111),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"36,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11112),(L),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11112),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11112),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"515,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),38.2,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),(D),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"3,674,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),30.5,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11113),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),(D),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),(D),CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"383,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),9.4,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,                 (D),00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11114),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"428,374,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),2.7,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"223,487,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),4.4,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"413,132,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),18.4,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"133,771,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"67,756,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11115),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"197,834,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),6.8,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"128,926,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),3.8,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"159,205,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),8.6,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"80,768,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"22,089,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (11119),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"477,620,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),9.9,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"361,276,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),8.6,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"354,999,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,NAICS CLASSIFICATION: (1112),6.7,CROP TOTALS
