domaincat_desc,commodity_desc,CV (%),group_desc,source_desc,statisticcat_desc,short_desc,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5,sector_desc,prodn_practice_desc,asd_desc,load_time,state_name,country_code,county_name,county_code,begin_code,state_ansi,week_ending,Value,end_code,county_ansi,location_desc,state_alpha,reference_period_desc,state_fips_code,asd_code,country_name,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,2.9,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"2,063,969,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,2.5,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,783,982,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,093,520,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"876,625,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,337,699,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
NAICS CLASSIFICATION: (111),CROP TOTALS,6.7,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"3,547,732,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (111),CROP TOTALS,2.6,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"2,339,963,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (111),CROP TOTALS,3.5,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"2,086,970,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,267,483,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"983,661,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1111),CROP TOTALS,6.7,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"2,939,692,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1111),CROP TOTALS,3.3,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,754,032,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1111),CROP TOTALS,2.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,542,131,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"809,803,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"493,757,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11111),CROP TOTALS,13.9,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"721,131,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11111),CROP TOTALS,8.0,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"550,723,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11111),CROP TOTALS,4.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"429,938,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"52,387,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11111),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"150,271,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11112),CROP TOTALS,(L),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"1,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11112),CROP TOTALS,(D),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11112),CROP TOTALS,(D),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11112),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11114),CROP TOTALS,11.5,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"16,921,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11114),CROP TOTALS,(D),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11114),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11114),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"1,866,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11115),CROP TOTALS,4.0,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"1,191,271,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11115),CROP TOTALS,5.3,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"562,283,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11115),CROP TOTALS,5.3,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"395,313,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11115),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"596,873,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11115),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"223,965,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11119),CROP TOTALS,7.4,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"1,010,367,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11119),CROP TOTALS,2.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"640,106,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11119),CROP TOTALS,4.0,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"712,826,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11119),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"158,146,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (11119),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"117,656,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1112),CROP TOTALS,38.3,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"53,329,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1112),CROP TOTALS,12.1,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"25,457,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1112),CROP TOTALS,17.0,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"22,017,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1112),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"14,335,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (1112),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"13,600,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
NAICS CLASSIFICATION: (111211),CROP TOTALS,70.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"844,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION
