domaincat_desc,asd_code,group_desc,region_desc,end_code,county_name,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%),agg_level_desc,reference_period_desc,state_name,unit_desc,week_ending,statisticcat_desc,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,country_name,state_ansi,domain_desc,country_code,source_desc,zip_5,commodity_desc
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"478,714,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"522,787,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,1997,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"2,103,133,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,2.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"1,543,691,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,7.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"1,618,232,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,1.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"822,933,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"489,245,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,,00,,,"673,334,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,1997,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"2,984,437,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,2.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"2,281,068,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,5.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"2,293,481,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,2.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"1,658,930,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (111),,CROP TOTALS,,00,,,"1,207,722,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"1,094,633,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,7.2,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"611,359,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,18.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"854,474,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,2.5,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"343,302,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1111),,CROP TOTALS,,00,,,"120,498,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"70,643,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,19.7,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"54,882,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,12.9,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"56,392,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,1.5,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"15,391,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11111),,CROP TOTALS,,00,,,"14,072,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11112),,CROP TOTALS,,00,,,                 (D),2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11112),,CROP TOTALS,,00,,,                 (D),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11112),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11112),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11113),,CROP TOTALS,,00,,,                 (D),2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11113),,CROP TOTALS,,00,,,                 (D),2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11113),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,"8,375,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,16.6,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,(D),STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11114),,CROP TOTALS,,00,,,                 (D),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"653,741,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,5.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"318,132,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,26.6,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"504,770,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,5.4,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"215,604,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11115),,CROP TOTALS,,00,,,"71,268,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"361,634,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,11.7,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"237,469,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,16.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"290,063,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,1.8,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"108,115,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (11119),,CROP TOTALS,,00,,,"30,780,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1112),,CROP TOTALS,,00,,,"201,875,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,5.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
NAICS CLASSIFICATION: (1112),,CROP TOTALS,,00,,,"157,153,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,21.7,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,NAICS CLASSIFICATION,9000,CENSUS,,CROP TOTALS
