group_desc,location_desc,reference_period_desc,state_fips_code,county_name,freq_desc,util_practice_desc,county_ansi,class_desc,state_name,zip_5,end_code,domaincat_desc,country_code,week_ending,watershed_desc,country_name,congr_district_code,statisticcat_desc,year,sector_desc,state_ansi,prodn_practice_desc,begin_code,commodity_desc,Value,source_desc,domain_desc,load_time,state_alpha,short_desc,county_code,asd_code,asd_desc,watershed_code,agg_level_desc,region_desc,unit_desc,CV (%)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,107,CENSUS,"IRRIGATION METHOD, PRIMARY",2012-12-31 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,167,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,1.9
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,                 (D),CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,28,CENSUS,"IRRIGATION METHOD, PRIMARY",2018-02-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,3.2
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,25,CENSUS,"IRRIGATION METHOD, PRIMARY",2012-12-31 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,12,CENSUS,"IRRIGATION METHOD, PRIMARY",2018-02-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,(H)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,24,CENSUS,"IRRIGATION METHOD, PRIMARY",2012-12-31 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,25,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,17.9
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,24,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,151.1,CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,4.0
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,132.2,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,32.7
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,126.8,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,8.1
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,154.7,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,142.9,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,26,CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,1.1
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,22.9,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,4.0
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,23.1,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,3.9
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,24.7,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,SILAGE,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,CORN,21.4,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"CORN, SILAGE, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,(EXCL ALFALFA),NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,2,CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"HAY, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,5.4
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,(EXCL ALFALFA),NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,2.2,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"HAY, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,8.4
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,                 (D),CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,(D)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,4.4,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,8.5
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,4.3,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,4.5
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,4.4,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,4.1,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, NONE OF CROP",00,HAY,                 (D),CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,(D)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, NONE OF CROP",00,HAY,4.2,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,23.7
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALFALFA,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, PART OF CROP",00,HAY,3.9,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, ALFALFA, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,SMALL GRAIN,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,3,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, SMALL GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,3.3
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,SMALL GRAIN,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,3.1,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, SMALL GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,SMALL GRAIN,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,2.9,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, SMALL GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,SMALL GRAIN,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, NONE OF CROP",00,HAY,3.3,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, SMALL GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,20.1
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,SMALL GRAIN,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, PART OF CROP",00,HAY,2.9,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, SMALL GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"TAME, (EXCL ALFALFA & SMALL GRAIN)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,1.9,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,13.5
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"TAME, (EXCL ALFALFA & SMALL GRAIN)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,2.1,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"TAME, (EXCL ALFALFA & SMALL GRAIN)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,2.1,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"TAME, (EXCL ALFALFA & SMALL GRAIN)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, NONE OF CROP",00,HAY,3.5,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,6.7
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"TAME, (EXCL ALFALFA & SMALL GRAIN)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, PART OF CROP",00,HAY,1.7,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,WILD,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,1,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, WILD, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,7.0
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,WILD,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,1.4,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, WILD, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,WILD,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,HAY,                 (D),CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, WILD, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,WILD,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, NONE OF CROP",00,HAY,0.5,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"HAY, WILD, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,4.1
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,WILD,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, PART OF CROP",00,HAY,                 (D),CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"HAY, WILD, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",,,,00000000,STATE,,TONS / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,(EXCL ALFALFA),NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,HAY & HAYLAGE,3.3,CENSUS,"IRRIGATION METHOD, PRIMARY",2018-02-01 00:00:00.000,NV,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",,,,00000000,STATE,,"TONS / ACRE, DRY BASIS",20.5
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,(EXCL ALFALFA),NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,HAY & HAYLAGE,2.7,CENSUS,"IRRIGATION METHOD, PRIMARY",2012-12-31 00:00:00.000,NV,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",,,,00000000,STATE,,"TONS / ACRE, DRY BASIS",
