group_desc,end_code,region_desc,asd_code,domaincat_desc,load_time,sector_desc,prodn_practice_desc,watershed_desc,Value,county_name,begin_code,class_desc,asd_desc,state_alpha,util_practice_desc,freq_desc,year,CV (%),short_desc,location_desc,week_ending,statisticcat_desc,unit_desc,state_name,reference_period_desc,agg_level_desc,congr_district_code,county_code,state_fips_code,county_ansi,watershed_code,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,526,410,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,430,457,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,1997,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,251,733,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,13.8,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"672,369,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,11.6,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"972,460,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,2.5,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"680,290,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"475,508,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (NONE ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"587,891,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,1997,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (111),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"9,111,630,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,8.3,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (111),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"6,930,645,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,5.0,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (111),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"6,429,368,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,7.3,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (111),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"4,708,695,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (111),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"3,544,507,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1111),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,486,668,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,15.6,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1111),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"793,275,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,4.7,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1111),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,234,784,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,2.9,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1111),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"821,024,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1111),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"476,513,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11111),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11112),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11112),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11112),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"7,977,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,73.1,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11112),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11112),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11113),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11113),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11113),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"18,699,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,25.7,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11113),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11113),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11114),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,247,506,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,17.4,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11114),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"588,472,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,3.4,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11114),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,003,102,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,2.2,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11114),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"670,456,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11114),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"430,094,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11115),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"98,708,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,11.6,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11115),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,(D),"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11115),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"102,238,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,17.3,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11115),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,                 (D),,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11115),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"17,827,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11119),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"124,768,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,8.2,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11119),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"122,371,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,6.5,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11119),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"102,769,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,2.3,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11119),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"87,707,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (11119),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"15,052,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1112),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,097,377,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,15.3,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1112),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,236,322,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,4.6,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1112),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"1,148,616,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,3.7,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,NAICS CLASSIFICATION: (1112),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"863,629,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,NAICS CLASSIFICATION,UNITED STATES,,CROP TOTALS,9000,CENSUS
